Batting Statistics by Player Ranking in the American Leage
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
                         Brandon Lowe             TB                       296                      42                       80                       17                       2                        17                       51                       5                        0                        25                       113                      .270                     .336                     .514                     .850                     2.9                      
93                       Jordy Mercer             DET                      256                      24                       69                       16                       0                        9                        22                       0                        0                        13                       57                       .270                     .310                     .438                     .747                     0.3                      
94                       Oscar Mercado            CLE                      438                      70                       118                      25                       3                        15                       54                       15                       4                        28                       84                       .269                     .318                     .443                     .761                     2.2                      
95                       Austin Nola              SEA                      238                      37                       64                       12                       1                        10                       31                       1                        0                        23                       63                       .269                     .342                     .454                     .796                     1.2                      
96                       Kyle Tucker              HOU                      67                       15                       18                       6                        0                        4                        11                       5                        0                        4                        20                       .269                     .319                     .537                     .857                     0.8                      
97                       Willie Calhoun           TEX                      309                      51                       83                       14                       1                        21                       48                       0                        0                        23                       53                       .269                     .323                     .524                     .848                     0.6                      
98                       Myles Straw              HOU                      108                      27                       29                       4                        2                        0                        7                        8                        1                        19                       24                       .269                     .378                     .343                     .721                     1.1                      
99                       Willians Astudillo       MIN                      190                      28                       51                       9                        0                        4                        21                       0                        0                        5                        8                        .268                     .299                     .379                     .678                     -0.2                     
100                      Nomar Mazara             TEX                      429                      69                       115                      27                       1                        19                       66                       4                        1                        28                       108                      .268                     .318                     .469                     .786                     0.7                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
101                      Kyle Lewis               SEA                      71                       10                       19                       5                        0                        6                        13                       0                        0                        3                        29                       .268                     .293                     .592                     .885                     0.3                      
102                      Yandy Diaz               TB                       307                      53                       82                       20                       1                        14                       38                       2                        2                        35                       61                       .267                     .340                     .476                     .816                     1.7                      
103                      Eloy Jimenez             CHW                      468                      69                       125                      18                       2                        31                       79                       0                        0                        30                       134                      .267                     .315                     .513                     .828                     1.4                      
104                      Matt Olson               OAK                      483                      73                       129                      26                       0                        36                       91                       0                        0                        51                       138                      .267                     .351                     .545                     .896                     5.1                      
105                      Freddy Galvis            TOR                      450                      55                       120                      24                       1                        18                       54                       4                        1                        21                       112                      .267                     .299                     .444                     .743                     1.8                      
                         Jon Jay                  CHW                      165                      12                       44                       8                        0                        0                        9                        0                        0                        8                        30                       .267                     .311                     .315                     .626                     -0.8                     
                         Mason Williams           BAL                      30                       4                        8                        1                        0                        0                        2                        1                        0                        3                        6                        .267                     .324                     .300                     .624                     -0.1                     
                         Clint Frazier            NYY                      225                      31                       60                       14                       0                        12                       38                       1                        2                        16                       70                       .267                     .317                     .489                     .806                     0.1                      
109                      Alex Gordon              KC                       556                      77                       148                      31                       1                        13                       76                       5                        3                        51                       100                      .266                     .345                     .396                     .741                     1.4                      
110                      Andrew Benintendi        BOS                      541                      72                       144                      40                       5                        13                       68                       10                       3                        59                       140                      .266                     .343                     .431                     .774                     1.7                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
111                      Jorge Soler              KC                       589                      95                       156                      33                       1                        48                       117                      3                        1                        73                       178                      .265                     .354                     .569                     .922                     3.7                      
112                      Shin-Soo Choo            TEX                      563                      93                       149                      31                       2                        24                       61                       15                       1                        78                       165                      .265                     .371                     .455                     .826                     1.6                      
113                      Andrelton Simmons        LAA                      398                      47                       105                      19                       0                        7                        40                       10                       2                        24                       37                       .264                     .309                     .364                     .673                     2.1                      
114                      Marwin Gonzalez          MIN                      425                      52                       112                      19                       0                        15                       55                       1                        0                        31                       98                       .264                     .322                     .414                     .736                     1.6                      
115                      Luke Voit                NYY                      429                      72                       113                      21                       1                        21                       62                       0                        0                        71                       142                      .263                     .378                     .464                     .842                     1.9                      
116                      Shed Long                SEA                      152                      21                       40                       12                       1                        5                        15                       3                        3                        16                       40                       .263                     .333                     .454                     .787                     -0.1                     
                         Nate Lowe                TB                       152                      24                       40                       8                        0                        7                        19                       0                        0                        13                       50                       .263                     .325                     .454                     .779                     0.6                      
118                      Travis d'Arnaud          TB                       327                      50                       86                       16                       0                        16                       67                       0                        1                        30                       80                       .263                     .323                     .459                     .782                     1.4                      
119                      Adalberto Mondesi        KC                       415                      58                       109                      20                       10                       9                        62                       43                       7                        19                       132                      .263                     .291                     .424                     .715                     2.6                      
120                      Byron Buxton             MIN                      271                      48                       71                       30                       4                        10                       46                       14                       3                        19                       68                       .262                     .314                     .513                     .827                     3.1                      

RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
121                      Brian Goodwin            LAA                      413                      65                       108                      29                       3                        17                       47                       7                        3                        38                       129                      .262                     .326                     .470                     .796                     2.1                      
122                      Ji-Man Choi              TB                       410                      54                       107                      20                       2                        19                       63                       2                        3                        64                       108                      .261                     .363                     .459                     .822                     2.0                      
123                      Jesus Aguilar            TB                       92                       13                       24                       3                        0                        4                        16                       0                        0                        12                       22                       .261                     .336                     .424                     .760                     0.3                      
124                      Anthony Santander        BAL                      380                      46                       99                       20                       1                        20                       59                       1                        2                        19                       86                       .261                     .297                     .476                     .773                     1.3                      
125                      Kelvin Gutierrez         KC                       73                       4                        19                       2                        1                        1                        11                       1                        0                        5                        24                       .260                     .304                     .356                     .660                     0.2                      
126                      Mike Ford                NYY                      143                      30                       37                       7                        0                        12                       25                       0                        0                        17                       28                       .259                     .350                     .559                     .909                     1.0                      
127                      Jose Trevino             TEX                      120                      18                       31                       9                        0                        2                        13                       0                        0                        3                        27                       .258                     .272                     .383                     .655                     0.0                      
128                      Jake Cave                MIN                      198                      28                       51                       11                       2                        8                        25                       0                        0                        21                       71                       .258                     .351                     .455                     .805                     0.9                      
129                      Jonathan Schoop          MIN                      433                      61                       111                      23                       1                        23                       59                       1                        1                        20                       116                      .256                     .304                     .473                     .777                     1.6                      
130                      Jose Ramirez             CLE                      482                      68                       123                      33                       3                        23                       83                       24                       4                        52                       74                       .255                     .327                     .479                     .806                     3.3                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
131                      Willy Adames             TB                       531                      69                       135                      25                       1                        20                       52                       4                        2                        46                       153                      .254                     .317                     .418                     .735                     4.2                      
132                      Michael Chavis           BOS                      347                      46                       88                       10                       1                        18                       58                       2                        1                        31                       127                      .254                     .322                     .444                     .766                     0.7                      
133                      C.J. Cron                MIN                      458                      51                       116                      24                       0                        25                       78                       0                        0                        29                       107                      .253                     .311                     .469                     .780                     1.4                      
134                      Joey Gallo               TEX                      241                      54                       61                       15                       1                        22                       49                       4                        2                        52                       114                      .253                     .389                     .598                     .986                     3.0                      
135                      Domingo Santana          SEA                      451                      63                       114                      20                       1                        21                       69                       8                        3                        50                       164                      .253                     .329                     .441                     .770                     0.4                      
136                      Yolmer Sanchez           CHW                      496                      59                       125                      20                       4                        2                        43                       5                        4                        44                       117                      .252                     .318                     .321                     .638                     2.1                      
137                      Max Kepler               MIN                      524                      98                       132                      32                       0                        36                       90                       1                        5                        60                       99                       .252                     .336                     .519                     .855                     4.0                      
138                      Matt Duffy               TB                       147                      12                       37                       8                        0                        1                        12                       0                        1                        19                       29                       .252                     .343                     .327                     .670                     0.1                      
139                      Mitch Moreland           BOS                      298                      48                       75                       17                       1                        19                       58                       1                        0                        34                       74                       .252                     .328                     .507                     .835                     1.3                      
140                      Kevan Smith              LAA                      191                      21                       48                       12                       0                        5                        20                       2                        0                        16                       37                       .251                     .318                     .393                     .710                     0.6                      
RK                       PLAYER                   TEAM                     AB                       R                        H                        2B                       3B                       HR                       RBI                      SB                       CS                       BB                       SO                       AVG                      OBP                      SLG                      OPS                      WAR                      
141                      Brett Gardner            NYY                      491                      86                       123                      26                       7                        28                       74                       10                       2                        52                       108                      .251                     .325                     .503                     .829                     4.0                      
142                      Ryan Goins               CHW                      144                      13                       36                       6                        1                        2                        10                       0                        1                        17                       44                       .250                     .333                     .347                     .681                     0.2                      
                         Danny Duffy              KC                       4                        0                        1                        0                        0                        0                        0                        0                        0                        0                        2                        .250                     .250                     .250                     .500                     0.0                      
                         Tyler Austin             MIN                      4                        1                        1                        1                        0                        0                        0                        0                        0                        1                        3                        .250                     .400                     .500                     .900                     -0.1                     
                         Brad Miller              CLE                      36                       4                        9                        3                        0                        1                        4                        1                        0                        4                        10                       .250                     .325                     .417                     .742                     0.3                      
                         Lucas Giolito            CHW                      4                        0                        1                        0                        0                        0                        2                        0                        0                        0                        3                        .250                     .250                     .250                     .500                     0.0                      
